title,link,pub_date,description
Gregg Wallace says accusers are 'handful of middle-class women of a certain age',https://www.bbc.com/news/articles/c0k8kryvdjno,"Sun, 01 Dec 2024 15:42:45 GMT","BBC News revealed allegations of inappropriate sexual comments and behaviour against the MasterChef presenter, with the complainants a range of ages."
'People want nothing to do with him': How Ireland turned away from Conor McGregor,https://www.bbc.com/news/articles/cn5w50pw65yo,"Sun, 01 Dec 2024 13:17:50 GMT",The verdict in Nikita Hand's civil rape case saw already dwindling support for the UFC star fall further.
Woman searching for birth parents found dad was a friend on Facebook,https://www.bbc.com/news/articles/c36p9drnrdlo,"Sun, 01 Dec 2024 00:08:53 GMT",Tamuna Museridze has reunited hundreds of families torn apart by a baby trafficking scandal – now she has found her own birth parents.
British man killed on holiday in Turkey lift-shaft incident,https://www.bbc.com/news/articles/c1knkx1z8zgo,"Sun, 01 Dec 2024 15:32:52 GMT","Tyler Kerry was ""a young man full of personality, kindness and compassion"", his uncle says."
Former My Chemical Romance drummer dies aged 44,https://www.bbc.com/news/articles/cy8n8dxy2j5o,"Sun, 01 Dec 2024 13:13:28 GMT","He helped write songs for acclaimed record The Black Parade, deemed a ""defining album"" by critics."
Homes evacuated after sinkhole opens on estate,https://www.bbc.com/news/articles/cj90ll47g4yo,"Sun, 01 Dec 2024 15:59:46 GMT",About 30 homes are believed to have been evacuated and people were told to avoid the area.
Belgium's sex workers get maternity leave and pensions under world-first law,https://www.bbc.com/news/articles/c5ygn31ypdlo,"Sun, 01 Dec 2024 01:10:50 GMT","They will be entitled to official employment contracts, health insurance and sick days."
Man arrested on suspicion of rape at Groucho Club,https://www.bbc.com/news/articles/c5y8dddpwd2o,"Sun, 01 Dec 2024 13:14:03 GMT",Police say the alleged rape took place last month at the famous London private members' club.
'They threw her body into the ocean' - woman dies on boat headed for French island,https://www.bbc.com/news/articles/ce8d5334vmyo,"Sun, 01 Dec 2024 01:21:07 GMT",Woman's body thrown overboard after boat abandoned by people smugglers in the Indian Ocean.
China's crackdown on Hong Kong means protests are just a defiant memory,https://www.bbc.com/news/articles/c888jnvq4x4o,"Sat, 30 Nov 2024 23:11:12 GMT",The BBC speaks to Hongkongers whose hopes for a freer city have withered.
Forgotten street found behind a hidden library door,https://www.bbc.com/news/articles/cly2l119zlpo,"Sun, 01 Dec 2024 15:36:13 GMT",A passageway gives a glimpse of how the Scottish city looked centuries ago.
'I spent 30 years as a therapist to killers - and no-one is born evil',https://www.bbc.com/news/articles/cgk1v20lrn2o,"Sun, 01 Dec 2024 10:10:35 GMT",The 2024 Reith lecturer shares her verdict on why violent offenders are not monsters by nature
Blind dates to find mates: Making friends with strangers over dinner,https://www.bbc.com/news/articles/c5ymvy6kp5ko,"Sun, 01 Dec 2024 15:32:29 GMT",Meet the Glasgow University students going on friendship dates to connect with new people and tackle loneliness.
"'If you want to have a child, why wait for a man?'",https://www.bbc.com/news/articles/c99relz9x4po,"Sun, 01 Dec 2024 03:55:13 GMT","More women are opting to undergo IVF and artificial insemination solo, new figures have shown."
"'Our estate pays £9,000 a year for grass to be cut'",https://www.bbc.com/news/articles/c978jqvjzvlo,"Sun, 01 Dec 2024 07:21:36 GMT","Freehold homeowners say they feel ""fleeced"" over service charges they pay to a private firm."
BBC News app,https://www.bbc.co.uk/news/10628994,"Tue, 20 Aug 2024 11:35:33 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests"
Mother's 'terrible journey' to bedside of British woman poisoned in Laos,https://www.bbc.com/news/articles/cr5m55v1l99o,"Sun, 01 Dec 2024 13:18:38 GMT",The mother of Simone White urges people to be careful with alcohol after her daughter died in Laos.
Georgia's PM hits back as protests and resignations intensify,https://www.bbc.com/news/articles/cp878819l8wo,"Sun, 01 Dec 2024 16:26:57 GMT","After days of demonstrations and public resignations, Georgia's prime minister rejects a call for new elections."
